 ,Homalodisca_vitripennis_Tul88_KAG8290569.1,Homalodisca_vitripennis_Tul88_KAG8290545.1,Armadillidium_vulgare_WXf-1543_OJH31527.1,Armadillidium_vulgare_WXf-1543_OJH32952.1,Armadillidium_vulgare_WXf-1543_OJH32251.1,Araneus_ventricosus_Yam34_BGPR01000016.1,Abscondita_terminalis_Ate-2015_JABVZW010003181.1,Timema_californicum_T76_OE198796.1,Pararge_aegeria_aegeria_Psw,Drosophila_ananassae_cHI_NW_025319039.1,Drosophila_ananassae_cHI_NW_025319040.1,Drosophila_ananassae_cHI_NW_025319042.1,Drosophila_ananassae_cHI_NW_025319046.1,Amblyptilia_punctidactyla_ilAmb_OZ389411.1,Gerris_buenoi_Swe94_CAO4854541.1,Gerris_buenoi_Swe94_CDWWKY010000139.1,Nephila_pilipes_Oki30_GFS42335.1
Homalodisca_vitripennis_Tul88_KAG8290569.1,0%,44%,27%,27%,27%,89%,79%,82%,80%,78%,78%,84%,84%,79%,53%,42%,88%
Homalodisca_vitripennis_Tul88_KAG8290545.1,44%,0%,40%,40%,40%,92%,82%,83%,84%,82%,82%,86%,86%,83%,46%,14%,87%
Armadillidium_vulgare_WXf-1543_OJH31527.1,27%,40%,0%,0%,0%,89%,77%,80%,82%,80%,80%,84%,84%,80%,51%,40%,89%
Armadillidium_vulgare_WXf-1543_OJH32952.1,27%,40%,0%,0%,0%,89%,77%,80%,82%,80%,80%,84%,84%,80%,51%,40%,89%
Armadillidium_vulgare_WXf-1543_OJH32251.1,27%,40%,0%,0%,0%,89%,77%,80%,82%,80%,80%,84%,84%,80%,51%,40%,89%
Araneus_ventricosus_Yam34_BGPR01000016.1,89%,92%,89%,89%,89%,0%,89%,89%,91%,92%,92%,89%,89%,90%,92%,92%,63%
Abscondita_terminalis_Ate-2015_JABVZW010003181.1,79%,82%,77%,77%,77%,89%,0%,82%,87%,85%,85%,89%,88%,83%,82%,80%,90%
Timema_californicum_T76_OE198796.1,82%,83%,80%,80%,80%,89%,82%,0%,79%,80%,80%,77%,76%,66%,83%,84%,92%
Pararge_aegeria_aegeria_Psw,80%,84%,82%,82%,82%,91%,87%,79%,0%,20%,20%,54%,53%,79%,85%,84%,90%
Drosophila_ananassae_cHI_NW_025319039.1,78%,82%,80%,80%,80%,92%,85%,80%,20%,0%,0%,57%,56%,76%,82%,81%,90%
Drosophila_ananassae_cHI_NW_025319040.1,78%,82%,80%,80%,80%,92%,85%,80%,20%,0%,0%,57%,56%,76%,82%,81%,90%
Drosophila_ananassae_cHI_NW_025319042.1,84%,86%,84%,84%,84%,89%,89%,77%,54%,57%,57%,0%,1%,81%,85%,85%,91%
Drosophila_ananassae_cHI_NW_025319046.1,84%,86%,84%,84%,84%,89%,88%,76%,53%,56%,56%,1%,0%,80%,85%,85%,91%
Amblyptilia_punctidactyla_ilAmb_OZ389411.1,79%,83%,80%,80%,80%,90%,83%,66%,79%,76%,76%,81%,80%,0%,83%,82%,89%
Gerris_buenoi_Swe94_CAO4854541.1,53%,46%,51%,51%,51%,92%,82%,83%,85%,82%,82%,85%,85%,83%,0%,42%,89%
Gerris_buenoi_Swe94_CDWWKY010000139.1,42%,14%,40%,40%,40%,92%,80%,84%,84%,81%,81%,85%,85%,82%,42%,0%,87%
Nephila_pilipes_Oki30_GFS42335.1,88%,87%,89%,89%,89%,63%,90%,92%,90%,90%,90%,91%,91%,89%,89%,87%,0%
